[03-Jul-2014 23:13:41 Asia/Shanghai] PHP Parse error:  syntax error, unexpected end of file in E:\server\nginx\html\H-wordlist\default.php on line 331
[03-Jul-2014 23:13:59 Asia/Shanghai] PHP Parse error:  syntax error, unexpected end of file in E:\server\nginx\html\H-wordlist\default.php on line 330
[03-Jul-2014 23:15:38 Asia/Shanghai] PHP Parse error:  syntax error, unexpected end of file in E:\server\nginx\html\H-wordlist\default.php on line 325
[03-Jul-2014 23:16:57 Asia/Shanghai] PHP Parse error:  syntax error, unexpected end of file in E:\server\nginx\html\H-wordlist\default.php on line 331
[03-Jul-2014 23:17:08 Asia/Shanghai] PHP Parse error:  syntax error, unexpected end of file in E:\server\nginx\html\H-wordlist\default.php on line 331
[03-Jul-2014 23:17:12 Asia/Shanghai] PHP Parse error:  syntax error, unexpected end of file in E:\server\nginx\html\H-wordlist\default.php on line 331
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 23
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 32
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 42
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 51
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 60
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 69
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 83
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 84
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 85
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 86
[03-Jul-2014 23:30:49 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 87
[03-Jul-2014 23:37:15 Asia/Shanghai] PHP Warning:  require_once(vendor/autoload.php): failed to open stream: No such file or directory in E:\server\nginx\html\H-wordlist\twig.php on line 2
[03-Jul-2014 23:37:15 Asia/Shanghai] PHP Fatal error:  require_once(): Failed opening required 'vendor/autoload.php' (include_path='E:\server\nginx\html\base\siteroot\su\prog\phplib;.;C:\php\pear') in E:\server\nginx\html\H-wordlist\twig.php on line 2
[03-Jul-2014 23:38:06 Asia/Shanghai] PHP Warning:  require_once(vendor/autoload.php): failed to open stream: No such file or directory in E:\server\nginx\html\H-wordlist\twig.php on line 2
[03-Jul-2014 23:38:06 Asia/Shanghai] PHP Fatal error:  require_once(): Failed opening required 'vendor/autoload.php' (include_path='E:\server\nginx\html\base\siteroot\su\prog\phplib;.;C:\php\pear') in E:\server\nginx\html\H-wordlist\twig.php on line 2
[03-Jul-2014 23:38:32 Asia/Shanghai] PHP Warning:  require_once(vendor/autoload.php): failed to open stream: No such file or directory in E:\server\nginx\html\H-wordlist\twig.php on line 2
[03-Jul-2014 23:38:32 Asia/Shanghai] PHP Fatal error:  require_once(): Failed opening required 'vendor/autoload.php' (include_path='E:\server\nginx\html\base\siteroot\su\prog\phplib;.;C:\php\pear') in E:\server\nginx\html\H-wordlist\twig.php on line 2
[03-Jul-2014 23:39:28 Asia/Shanghai] PHP Fatal error:  Uncaught exception 'Twig_Error_Loader' with message 'There are no registered paths for namespace "__main__".' in E:\server\nginx\html\H-wordlist\vendor\twig\twig\lib\Twig\Loader\Filesystem.php:193
Stack trace:
#0 E:\server\nginx\html\H-wordlist\vendor\twig\twig\lib\Twig\Loader\Filesystem.php(138): Twig_Loader_Filesystem->findTemplate('twigframe.html')
#1 E:\server\nginx\html\H-wordlist\vendor\twig\twig\lib\Twig\Environment.php(265): Twig_Loader_Filesystem->getCacheKey('twigframe.html')
#2 E:\server\nginx\html\H-wordlist\vendor\twig\twig\lib\Twig\Environment.php(323): Twig_Environment->getTemplateClass('twigframe.html', NULL)
#3 E:\server\nginx\html\H-wordlist\vendor\twig\twig\lib\Twig\Environment.php(292): Twig_Environment->loadTemplate('twigframe.html')
#4 E:\server\nginx\html\H-wordlist\twig.php(15): Twig_Environment->render('twigframe.html', Array)
#5 {main}
  thrown in E:\server\nginx\html\H-wordlist\vendor\twig\twig\lib\Twig\Loader\Filesystem.php on line 193
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\getwdlist.php on line 10
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 23
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 32
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 42
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 51
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 60
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in E:\server\nginx\html\H-wordlist\briefsta.php on line 69
[03-Jul-2014 23:39:43 Asia/Shanghai] PHP Warning:  Division by zero in E:\server\nginx\html\H-wordlist\briefsta.php on line 83
